募集状況,主催,イベント名,募集開始,締め切り,タグ,リンク,対象者,作成日時,最終更新日時,内容 / 必要な経験 (簡潔に!),場所,実施時期 / 待遇,技術スタック,選考フロー
募集中,株式会社スタディスト,就業型インターン_26卒ソフトウェアエンジニア,2024/06/28,,就業型インターン,https://open.talentio.com/r/1/c/studist-recruit/pages/93981,全学年,2024年6月29日 11:07,2024年6月29日 11:07,"Ruby / Ruby on Rails / JavaScript(TypeScript) / Vue.js / AWS などを使ったWebアプリケーション開発をしていただきます。

業務内容例
• マニュアル作成・共有サービス「Teachme Biz」の開発業務
• 新規事業開発やそのサポート
• 技術基盤の構築や改善
• など

求めるスキル・経験
• 個人またはチームでの開発経験
• 個人またはチームで何かしら取り組んだテーマがあること（開発経験以外でも可）
• 継続的に興味を持ち、取り組んできたことがあること

歓迎スキル・経験
• Web企業での長期インターン、アルバイト経験
• （ハッカソンなど）開発チームのリード経験があること
• 開発プロセスを継続的に改善した経験があること","(相談可能), フルリモート, 原則リモート, 対面出社可","給与
時給 1,500円〜（実績により時給アップあり）

期間
8月以降から参画可能
• 基本は1ヶ月を想定
• もし夏季休暇などの長期休暇で稼働が難しい場合は、週3回以上、平日の時間帯（11:00-18:00目安。多少前後するのは可能）を安定稼働できる方
    ◦ 可能な限りフルコミットできる方を募集しています
• 悩まれた場合はご相談ください

就業形態
フルリモートでの勤務を基本とし、希望あれば東京オフィスへ出社可能で交通費支給。（遠方の方は事前にご相談ください。）","Android, Clojure, Ruby, Ruby on Rails, Vue.js, Webバックエンド, Webフロントエンド, Web全般, iOS, インフラ, ソフトウェア開発, 生成AI","応募方法
以下URLよりご応募ください。
https://open.talentio.com/r/1/c/studist-recruit/pages/93981

インターンの選考フロー
面接1回を想定
・稼働チームの想定が変更になったなど、場合により面接回数が増える可能性があります
・過去面談をしたことのない方はカジュアル面談からの参加となります"
募集中,株式会社クイック,【3Daysインターン｜日当1万】実践課題解決型Webアプリ開発_ソフトウェアエンジニア,2024/06/28,2024/07/29,インターン,https://plump-ground-2f2.notion.site/Engineer-Entrance-Book-b4c7ad0d56ba47098424e34f6b936bc1#96021f7cc6244283a7bed71aaba67077,26卒,2024年6月29日 11:07,2024年6月29日 11:07,"『チーム開発を通してあなたの課題が明確になる〜3Days 実践課題解決型 Webアプリ開発〜』インターンシップ
PHP, Laravel, React, TypeScriptなど、実際の現場で使用している技術を使い、3日間で一つの作品を作り上げていただきます。
チームで課題に取り組み、自分のスキルを磨きながら、最終日には自分たちが作った作品をプレゼンしていただきます。

参加メリット
・実践さながらのチーム開発を体験できる
・インターン参加者には、早期選考ルート確約
・コンテンツもりだくさんのインターン説明選考会
※インターン参加には説明選考会参加が必須

参加要件
・2026年卒業予定の大学生、大学院生の方
・授業以外の自主的なアプリケーション開発経験がある方
・Git/GitHubの使用経験がある方

こんな方におすすめ
・実業務に近い経験を積み、より高いスキルを身につけたい方
・学習してきた技術が仕事で通用するのか試してみたい方
・チーム開発を通じて、個人開発では得られない知見やスキルを習得したい方
・学んだ技術を課題解決に結びつけるために、企画や設計などの上流工程に触れてみたい方
",対面出社,"◇ 開催日程 ◇
8月、9月 各3Days
※詳細はインターンシップ説明選考会でお伝えします。

◇ 報酬・その他 ◇
• 日当あり（1万円）
• 新幹線、飛行機、特急、高速バスでお越しの遠方にお住まいの方は、交通費を支給いた
します（上限3万円）
• 上記でお越しになる遠方にお住まいの方は、宿泊施設の予約・費用負担を弊社で行います","C++, JavaScript, PHP, Python, React, Ruby, TypeScript, Webバックエンド, Webフロントエンド, インフラ, ソフトウェア開発, チーム開発, 課題解決","◇選考フロー◇
インターンへのエントリーにはインターンシップ説明選考会へのご参加が必須となります。

 当日のタイムスケジュール （所要時間1時間45分/オンライン）
• 会社説明＋インターンシップ概要説明
• インターン前に挑戦！ウォーミングアッププレワーク
• 適性検査選考
【参加者特典】現役エンジニアによる作品レビュー会

ｰｰｰｰｰｰｰｰｰ
エントリー
↓
インターンシップ説明選考会参加（適性検査）
↓
合格連絡
↓
インターンシップ参加
ｰｰｰｰｰｰｰｰｰ
"
募集中,株式会社タイミー,【26卒｜Webエンジニア向け】就業型インターン,2024/06/28,2024/07/31,就業型インターン,https://newgrads.timee.co.jp/Internship,26卒,2024年6月29日 11:07,2024年6月29日 11:07,"- 2026年3月卒業見込みの方
- Webアプリケーション開発をしたことがある方","フルリモート, 出社可能性あり","8月以降
※時期や稼働日数・稼働時間については柔軟に調整いたします。","Next.js, React, Ruby, Ruby on Rails, TypeScript, Webバックエンド, Webフロントエンド, インフラ, スクラム, ソフトウェア開発, バックエンド",
募集中,クリエーションライン株式会社,【1day・オンライン】アジャイル開発を体験しよう！※27卒以降もご参加可能です,2024/06/28,2024/08/27,ワークショップ,https://job.mynavi.jp/26/pc/search/corp233781/is.html,"全学年, 学部（専攻）不問",2024年6月29日 11:07,2024年6月29日 11:07,"【ワークショップの概要】
・小さな単位で開発を繰り返しながら、顧客が本当に欲しい動物園をチームで実現します。
　作業ツールとして Mural を使います。(Webブラウザで使用しますのでソフトのインストールは不要です)
＜アジャイル開発とは＞
・小さくても良いので動くソフトウェアを短期間で作り、作ったモノを顧客に触ってもらい、そこから得た知見を活かし更に開発を繰り返す手法です。
　不確実性の高い領域でのシステム開発で強みを発揮することができます。",リモート,"【実施日時】
7月22日、7月24日、7月30日、8月1日、8月30日
各日 10:00～17:00
※オンラインで実施",チーム開発,"・以下のURLより応募（先着順）
　https://job.mynavi.jp/26/pc/corpinfo/displaySeminar/index?optNo=Bs3kpC&corpId=233781"
募集中,株式会社ナレッジラボ,履歴書にかける「開発実績」を作ろう！実践型エンジニアリングインターン,2024/06/26,2024/07/19,就業型インターン,https://hrmos.co/pages/knowledgelabo/jobs/1852352624351100964,"26卒, 27卒",2024年6月29日 11:07,2024年6月29日 11:07,"【概要】
• 優秀なエンジニアと同じチームで、急成長SaaS「Manageboard」のプロダクト開発現場を実際に体験していただけます！
• 当社はスクラム開発を4年間継続しており、マネーフォワードグループ内でScrum開発のプラクティスを共有し、開発プロセスを常に改善し続けてきました。
今回のインターンシップでは、「Manageboard」の機能実装の一つを実際に担っていただき、実践的なScrum開発を経験していただきます！
【特徴】
• 完全就業型の環境にて、Scrumを用いたサービス開発を経験していただけます！
• 学生のうちから実践的なプロダクト開発を学び、さらなる成長や挑戦をしたい方のご応募をお待ちしております！
【Manageboardって、、？】
• 会社の経営管理（会社の現在地を把握し、進むべき方向をきめること）に必要な知見を提供できるプロダクトです。
• ナレッジラボ代表の国見を初めとする会計士の「脳」を提供しています。（国見がプロダクトを手作りしたところから始まりました！）
• 現在の日本には、本来であれば全社に必要な経営管理の知識が、限られた人材にしか持てていない現状があります。これでは企業が正しく成長出来ません。
• Manageboardは業務効率化という「問題を処理すること」ではなく、成長企業の将来を「創造すること」を目的に作られたSaaSプロダクトです。
【参加資格】
• 2026年・2027年に卒業予定の高専生・大学生・大学院生
• Webサービスやスマホアプリの開発経験・プログラミング経験
• 能動的に自ら周囲とコミュニケーションを取り、積極的に業務を進めて下さる方","ハイブリッド勤務, リモート可, リモート＋対面出社, 大阪, 対面出社可, 週3－5日で出社可能","【実施日時】パターンA:8/19 から2週間　パターンB:8/26から2週間　パターンC:9月2日から２週間
【時間】10:00-18:00
【給与】1,500円×7h×10日（2週間） = 105,000円（交通費別途支給：上限1万円）","AWS, Amplitude, BigQuery, CircleCI, Figjam, FindyTeam+, GitHub, JavaScript, Looker Studio, NewRelic, PostgreSQL, Python, React, Ruby, Ruby on Rails, Slack, TypeScript",ES/履歴書のご提出→人事面談→面接（技術選考含む）
募集中,株式会社スリーシェイク,SREに強みを持つ会社でSREの技術について学ぶ夏季インターン！,2024/06/01,2024/07/15,インターン,https://acaric.jp/company-search/detail/148323,"全学年, 学歴不問",2024年6月29日 11:07,2024年6月29日 11:07,"リモートで開催する2週間程度で、技術に関する研究を行うインターンシッププログラムとなっています！
当社SREエンジニアがメンターとしてサポートしますし、知識に不安をお持ちの方のために事前学習の期間を設けておりますので、インフラ、SREについてこれから学びたい、という方も是非ご応募ください！
【実施内容】
1. インターンシップ前アンケートへの記入
2. 事前学習(自主学習期間は四つのテーマで事前にキャッチアップの資料を用意しています）
- Google Cloud 入門
- コンテナ・Kubernetes 入門
- ソフトウェア開発入門
- アウトプット入門
3. 技術研究
4. 研究内容の発表
※アンケートにて学びたい内容をお伺いし、できる限りご希望に近い内容の技術研究を行います
※基本はリモートですが、ランチ会の日にはよろしければ会社にお越しください","リモート, 東京","事前学習 : 1ヶ月
技術研究 : 2週間

【第二回】
事前学習：7/22〜8/16(自主学習期間のため、時間的な拘束はございません！)
技術研究：8/19〜8/30
　ランチ会：8/23（オフライン開催、遠方の方も交通費支給）
　発表会：8/29（オンライン開催、参加必須）
　発表会FB：8/30（オンライン開催、参加必須）
※第三回以降の開催は冬季に実施を予定しております。
※事前学習期間の途中からの参加も可能です

時給：1,500円
交通費実費支給
※以下のプログラム期間(2週間)についてのみ報酬をお支払い致します
・技術研究
・研究内容の発表","AWS, GCP, Go, JavaScript, Kubernetes, Python, SRE, TypeScript",書類選考→面談→採用通知
募集中,ククリ株式会社,【挑戦者求む】アプリ開発インターン(未経験者大歓迎),2024/06/25,2024/07/31,就業型インターン,応募：https://kukuri.co/recruit,"全学年, 学歴不問",2024年6月29日 11:07,2024年6月29日 11:07,"【実施内容】
現場に近い目線でのアプリ開発をご経験いただきます。実力やご希望に合わせて担当していただく内容を調整します。
フロント・バックエンド、保守・運用、AIモデルの設計・構築等の領域から選択いただく予定です（FlutterやJavascriptの使用を想定）。

【チーム】
・東京大学・大学院出身者(人工知能の基礎研究経験あり）や、海外大学出身者(米国)、大手コンサルファーム出身者等

【会社概要】
KUKURIは、主に人工知能技術を活用した健康増進サービスを提供するテックカンパニーです。下記3つの事業を行っております。
・人工知能によるヘルスサポート事業
・オンラインフィットネス事業
・経営コンサルティング事業","フルリモート, 対面出社可","【業務体系】
・場所/期間は自由
・定期的に面談を実施予定（週一を想定）
・無給（就業体験型インターン）","AWS, Docker, Flutter, JavaScript, UX/UI, Webバックエンド, Webフロントエンド, データベース, バックエンド, モバイル全般","1.弊社HPフォーム【https://kukuri.co/recruit】よりご登録
2.書類選考
3. オンラインにてカジュアル面談（会社紹介、質疑）
4. オンライン面接
5. 面接後2営業日以内に合否のご連絡"
募集中,株式会社ドリーム・アーツ,数名限定！本選考直結！26卒実務型長期インターン,2024/06/25,2024/07/12,就業型インターン,応募：https://public.n-ats.hrmos.co/dreamarts/jobs/1998941199481102336,"26卒, 27卒",2024年6月29日 11:07,2024年6月29日 11:07,"詳細
50万人の日々の業務を支える、大規模な高トラフィック自社プロダクトの機能開発業務に携わっていただきます。
プロダクト開発はもちろん、コードを書くだけではありません。
チームに入りリアルな開発現場で、社員とともに運用やサービス改善に至るまで幅広い業務にあたっていただきます。
日本の名だたるリーディングカンパニーで使われているサービスを実際に担当していただきますので、
DevOpsやクラウドを利用したSRE、エンタープライズに適応したシステム開発手法、品質担保、パフォーマンスチューニング等々、
大学では学べない要素が盛りだくさん。
※どの業務をやってもらうかは、やりたいこと、レベルなどの学生さんの希望に応じて柔軟に調整します。

▼昨年の様子はこちら
https://www.wantedly.com/companies/dreamarts/post_articles/902193

 報酬
時給1,800円～　※面接時に決定します。

開催日時
7月以降順次、学生さんの都合に合わせて調整します。
• 3か月以上の長期を想定
• 週12時間以上（目安は1日6時間～）

 開催場所
ドリーム・アーツオフィス（東京本社 / 広島本社 / 那覇オフィス）
","対面出社, 広島, 東京, 沖縄","開催日時
7月以降順次、学生さんの都合に合わせて調整します。
• 3か月以上の長期を想定
• 週12時間以上（目安は1日6時間～）

 開催場所
ドリーム・アーツオフィス（東京本社 / 広島本社 / 那覇オフィス）

待遇
時給1,800円～　※面接時に決定します。
交通費実費支給
CTOからのフィードバックの機会
本選考一部免除　


","Android, Docker, Go, Kubernetes, React, SRE, TypeScript, Webバックエンド, Webフロントエンド, iOS, インフラ, データベース, バックエンド",書類・WEB試験→コーディングテスト→CTO面接→インターン入社確定！
終了,株式会社電通デジタル,本選考直結！Data Science Internship,2024/06/05,2024/06/26,就業型インターン,応募：https://dentsudigital.snar.jp/jobboard/apply.aspx　/　詳細：https://www.dentsudigital.co.jp/careers/ngr/internships-data-science,26卒,2024年6月29日 11:07,2024年6月29日 11:07,"■概要
本インターンシップでは、複数のワークを通して電通デジタルのデータサイエンス／マーケティングサイエンスを体験していただきます。
実際に社員が利用しているツールや分析手法をＯＪＴ形式で学びながら、データ分析だけでなくデータ活用の醍醐味である得られた示唆からビジネス価値を創出するための施策プランニングにも挑んでいただき、このインターンシップでしか味わえない電通デジタル流のノウハウを体験できます。

■報酬
55,000円　※別途交通費支給あり。遠方者には宿泊費追加支給あり

■応募資格
1. 2026年3月末までに国内外の大学院、大学を卒業・修了（見込み）の方（学部・学科・専攻不問）
2. プログラム全てに参加可能な方
3. Python、R、SQLのいずれかを触った経験（期間、レベル不問）をお持ちの方
4. マーケティング分野におけるデータ分析への興味をお持ちの方",原則対面出社,9月17日（火）～9月26日（木）※土日祝を除く7日間,"AI, Python, SQL, コンサルタント, データエンジニアリング, データサイエンス, データサイエンティスト, データ分析, マーケティング, 機械学習, 深層学習, 自然言語処理",エントリーシート提出　→　オンライン面接　→参加者決定
募集中,株式会社LATRICO,LATRICO 2024 Summer Internship,2024/06/20,2024/07/15,インターン,https://docs.google.com/forms/d/e/1FAIpQLSeDGMv8wp7qLnpzT6ie9Udhc_ZORVM8b4aIvK3Nl_6B-Lhwgw/viewform,"全学年, 学歴不問",2024年6月29日 11:07,2024年6月29日 11:07,"# 内容
医療の領域で、仲間たちと新たな ""当たり前"" をつくろう
日本中どこにいても専門的な治療を受診でき、医療従事者が働きやすい環境をテクノロジーの力で実現しています。

- LATRICOインターンシップの特徴
    - 1ヶ月間の長期のインターンにより課題をみいだし、仕組みに落しこむことで、システムで価値を生みつづける仕組みを体験していただきます
    - webサービスを利用するユーザにサービスに流入するまでの流れを分析し、改善のプロセスを知ることができます

今年のインターンシップでは、ユーザーがサービスを見つけ、登録をする動線を開発対象とすることでユーザーの意図を汲みより適切な診察ができるような開発を行い効果測定をしユーザーに価値を届けます

# 必要な経験
プログラミングの経験
PHPやTypeScriptのいずれかで実装を進める技量
(他言語の経験により、PHPやTypeScriptでの実装ができれば、必ずしも利用したことが無くても応募可能です。)

GithubやSlackを用いて行うスムーズなコミュニケーション","リモート可, 原則対面出社, 東京","応相談(1ヶ月~)
時給2000円~","PHP, TypeScript, Webバックエンド, Webフロントエンド, Web全般, チーム開発, バックエンド, 新規事業",書類選考→面接(1~2回)→採用通知
